penampakkan\10\10_1.jpg,119.218669,50.134830,11.472390
penampakkan\10\10_10.jpg,155.181198,60.953631,20.735541
penampakkan\10\10_11.jpg,116.854173,42.901522,10.852905
penampakkan\10\10_12.jpg,121.986848,55.696962,10.753955
penampakkan\10\10_13.jpg,121.889356,54.073682,10.731169
penampakkan\10\10_14.jpg,148.613231,64.404218,16.224499
penampakkan\10\10_15.jpg,134.565251,51.455360,15.907666
penampakkan\10\10_16.jpg,131.356761,44.623061,14.478170
penampakkan\10\10_17.jpg,137.947636,50.366651,15.255761
penampakkan\10\10_18.jpg,148.476506,56.518452,17.707180
penampakkan\10\10_2.jpg,163.889607,71.307184,21.098546
penampakkan\10\10_3.jpg,152.835852,66.023192,22.044972
penampakkan\10\10_4.jpg,124.992362,51.662165,12.600459
penampakkan\10\10_5.jpg,133.183645,61.143331,12.821054
penampakkan\10\10_6.jpg,127.124448,44.577313,14.970353
penampakkan\10\10_7.jpg,110.142007,34.511281,10.630739
penampakkan\10\10_8.jpg,152.625618,55.982087,18.417294
penampakkan\10\10_9.jpg,146.523302,51.824093,15.363828
penampakkan\11\11_1.jpg,131.271281,58.488205,10.997330
penampakkan\11\11_10.jpg,147.167394,59.113098,16.752485
penampakkan\11\11_11.jpg,128.316685,51.617548,12.107192
penampakkan\11\11_12.jpg,186.062677,87.641570,26.872999
penampakkan\11\11_13.jpg,115.176567,46.432923,10.741653
penampakkan\11\11_14.jpg,128.129720,61.024763,12.483022
penampakkan\11\11_15.jpg,152.530294,76.376636,17.880599
penampakkan\11\11_16.jpg,151.008846,90.368579,16.888617
penampakkan\11\11_17.jpg,148.121432,97.180096,16.894614
penampakkan\11\11_18.jpg,147.150500,81.324931,15.374310
penampakkan\11\11_19.jpg,123.992689,57.960973,10.187530
penampakkan\11\11_2.jpg,142.252861,64.089228,13.616105
penampakkan\11\11_20.jpg,160.038450,80.876408,19.832025
penampakkan\11\11_3.jpg,139.263805,62.233223,13.707768
penampakkan\11\11_4.jpg,150.703459,76.097061,16.705775
penampakkan\11\11_5.jpg,142.717404,91.086468,14.761179
penampakkan\11\11_6.jpg,115.615313,73.234591,8.704253
penampakkan\11\11_7.jpg,153.078714,86.041824,17.181907
penampakkan\11\11_8.jpg,151.971730,68.696630,15.319241
penampakkan\11\11_9.jpg,155.755140,64.158099,19.511466
penampakkan\12\12_1.jpg,133.327714,58.687454,13.579433
penampakkan\12\12_10.jpg,140.836150,57.546296,19.586080
penampakkan\12\12_11.jpg,140.640954,52.117838,17.660838
penampakkan\12\12_12.jpg,120.215854,62.137315,15.822892
penampakkan\12\12_13.jpg,152.515099,74.407914,17.677951
penampakkan\12\12_14.jpg,127.371053,51.229115,13.136834
penampakkan\12\12_15.jpg,126.370328,41.801876,13.630269
penampakkan\12\12_16.jpg,125.383976,40.311128,12.786567
penampakkan\12\12_17.jpg,149.299992,73.128534,19.728462
penampakkan\12\12_18.jpg,148.041961,57.651636,18.191456
penampakkan\12\12_19.jpg,125.981204,53.123466,14.350710
penampakkan\12\12_2.jpg,125.218471,48.974617,11.195251
penampakkan\12\12_20.jpg,145.059580,64.253251,16.712841
penampakkan\12\12_21.jpg,141.200478,67.289589,16.899009
penampakkan\12\12_3.jpg,107.965340,44.971816,9.928668
penampakkan\12\12_4.jpg,117.836024,61.805946,13.167373
penampakkan\12\12_5.jpg,125.071996,55.888507,13.428292
penampakkan\12\12_6.jpg,104.629156,34.629394,10.571404
penampakkan\12\12_7.jpg,110.037232,49.271524,10.980276
penampakkan\12\12_8.jpg,151.301915,79.675213,20.099697
penampakkan\12\12_9.jpg,148.729889,71.159631,17.637728
penampakkan\13\13_1.jpg,110.209131,32.811924,15.059096
penampakkan\13\13_10.jpg,147.137579,48.002947,24.377911
penampakkan\13\13_11.jpg,156.340189,56.398158,27.622665
penampakkan\13\13_12.jpg,107.340964,30.324771,14.275961
penampakkan\13\13_13.jpg,98.617470,25.428961,11.307312
penampakkan\13\13_14.jpg,105.130406,26.379048,12.414405
penampakkan\13\13_15.jpg,97.608388,23.537801,11.025320
penampakkan\13\13_16.jpg,127.903766,37.497210,17.399749
penampakkan\13\13_17.jpg,118.463598,34.557940,14.790309
penampakkan\13\13_18.jpg,139.497617,41.111474,17.080892
penampakkan\13\13_19.jpg,162.469492,61.079341,22.064335
penampakkan\13\13_2.jpg,112.046514,33.997147,12.381809
penampakkan\13\13_3.jpg,119.634656,37.786842,15.104283
penampakkan\13\13_4.jpg,125.065510,41.407569,17.840747
penampakkan\13\13_5.jpg,123.903954,39.385199,15.243809
penampakkan\13\13_6.jpg,148.306895,53.811059,26.747126
penampakkan\13\13_7.jpg,163.252845,57.351858,27.246499
penampakkan\13\13_8.jpg,156.454273,51.330018,22.346401
penampakkan\13\13_9.jpg,130.663329,36.801905,16.378052
penampakkan\14\14_1.jpg,103.256730,29.376982,12.075313
penampakkan\14\14_10.jpg,112.816507,31.700174,14.999389
penampakkan\14\14_11.jpg,135.735371,41.256576,16.922688
penampakkan\14\14_12.jpg,99.598289,24.614901,10.200291
penampakkan\14\14_13.jpg,117.025646,33.772840,12.342421
penampakkan\14\14_14.jpg,120.270680,36.460152,12.476978
penampakkan\14\14_15.jpg,129.337746,40.202622,15.007279
penampakkan\14\14_16.jpg,124.458192,38.241757,15.961126
penampakkan\14\14_17.jpg,126.779500,40.680566,15.938059
penampakkan\14\14_18.jpg,139.803755,42.927589,19.041889
penampakkan\14\14_2.jpg,126.033430,42.248343,24.146634
penampakkan\14\14_3.jpg,131.812434,41.992338,19.059003
penampakkan\14\14_4.jpg,151.435532,51.663737,21.803045
penampakkan\14\14_5.jpg,157.494425,57.944733,22.104972
penampakkan\14\14_6.jpg,112.275564,31.389502,15.537864
penampakkan\14\14_7.jpg,142.707165,43.804676,19.624975
penampakkan\14\14_8.jpg,140.416208,43.241260,17.429067
penampakkan\14\14_9.jpg,151.373753,48.837376,20.820615
penampakkan\15\15_1.jpg,93.678695,52.926172,5.482687
penampakkan\15\15_10.jpg,152.859189,72.001318,16.477295
penampakkan\15\15_11.jpg,118.157828,41.798501,9.447754
