penampakkan\10\10_1.jpg,119.218669,50.134830,11.472390,105.494332,240.619969,107.679697
penampakkan\10\10_10.jpg,155.181198,60.953631,20.735541,107.076000,232.050471,141.373165
penampakkan\10\10_11.jpg,116.854173,42.901522,10.852905,106.795921,240.881167,106.089267
penampakkan\10\10_12.jpg,121.986848,55.696962,10.753955,104.410705,241.340417,111.026285
penampakkan\10\10_13.jpg,121.889356,54.073682,10.731169,105.075541,241.964985,113.197547
penampakkan\10\10_14.jpg,148.613231,64.404218,16.224499,105.110989,236.543354,135.373405
penampakkan\10\10_15.jpg,134.565251,51.455360,15.907666,107.332715,235.487180,122.042316
penampakkan\10\10_16.jpg,131.356761,44.623061,14.478170,108.640709,237.158529,120.950760
penampakkan\10\10_17.jpg,137.947636,50.366651,15.255761,107.627857,236.202521,125.932240
penampakkan\10\10_18.jpg,148.476506,56.518452,17.707180,107.077110,234.602628,134.713773
penampakkan\10\10_2.jpg,163.889607,71.307184,21.098546,105.711687,233.164429,147.710857
penampakkan\10\10_3.jpg,152.835852,66.023192,22.044972,106.068994,229.566334,139.450947
penampakkan\10\10_4.jpg,124.992362,51.662165,12.600459,105.707456,239.473381,114.192356
penampakkan\10\10_5.jpg,133.183645,61.143331,12.821054,104.798090,239.829864,122.950516
penampakkan\10\10_6.jpg,127.124448,44.577313,14.970353,107.479924,237.177753,114.789660
penampakkan\10\10_7.jpg,110.142007,34.511281,10.630739,108.714776,241.213364,100.343913
penampakkan\10\10_8.jpg,152.625618,55.982087,18.417294,107.703390,234.075915,137.799417
penampakkan\10\10_9.jpg,146.523302,51.824093,15.363828,107.990302,237.011981,135.470145
penampakkan\11\11_1.jpg,131.271281,58.488205,10.997330,104.843220,241.732594,117.279864
penampakkan\11\11_10.jpg,147.167394,59.113098,16.752485,105.743236,235.419221,131.347090
penampakkan\11\11_11.jpg,128.316685,51.617548,12.107192,106.148664,240.169786,115.837836
penampakkan\11\11_12.jpg,186.062677,87.641570,26.872999,105.290839,226.944290,167.395816
penampakkan\11\11_13.jpg,115.176567,46.432923,10.741653,106.044113,240.867642,103.827849
penampakkan\11\11_14.jpg,128.129720,61.024763,12.483022,104.665256,238.628030,117.223117
penampakkan\11\11_15.jpg,152.530294,76.376636,17.880599,103.534528,235.037549,134.854191
penampakkan\11\11_16.jpg,151.008846,90.368579,16.888617,100.653786,236.795438,135.850352
penampakkan\11\11_17.jpg,148.121432,97.180096,16.894614,99.401706,236.559746,131.906183
penampakkan\11\11_18.jpg,147.150500,81.324931,15.374310,101.977677,237.695344,130.826094
penampakkan\11\11_19.jpg,123.992689,57.960973,10.187530,104.079155,242.207886,109.862110
penampakkan\11\11_2.jpg,142.252861,64.089228,13.616105,105.378693,238.797381,128.482423
penampakkan\11\11_20.jpg,160.038450,80.876408,19.832025,103.653568,231.984384,144.645122
penampakkan\11\11_3.jpg,139.263805,62.233223,13.707768,105.849342,237.753085,128.062847
penampakkan\11\11_4.jpg,150.703459,76.097061,16.705775,103.888057,236.662466,136.005410
penampakkan\11\11_5.jpg,142.717404,91.086468,14.761179,99.550849,239.497480,128.480783
penampakkan\11\11_6.jpg,115.615313,73.234591,8.704253,99.531358,244.401387,103.973711
penampakkan\11\11_7.jpg,153.078714,86.041824,17.181907,101.714931,236.234348,136.880918
penampakkan\11\11_8.jpg,151.971730,68.696630,15.319241,105.082820,238.483257,137.892880
penampakkan\11\11_9.jpg,155.755140,64.158099,19.511466,105.850766,233.403929,139.189385
penampakkan\12\12_1.jpg,133.327714,58.687454,13.579433,105.560683,237.761042,121.880705
penampakkan\12\12_10.jpg,140.836150,57.546296,19.586080,106.675783,232.037661,128.334125
penampakkan\12\12_11.jpg,140.640954,52.117838,17.660838,107.614768,234.686585,127.369164
penampakkan\12\12_12.jpg,120.215854,62.137315,15.822892,103.700979,235.105758,109.955406
penampakkan\12\12_13.jpg,152.515099,74.407914,17.677951,104.274681,235.662426,140.793355
penampakkan\12\12_14.jpg,127.371053,51.229115,13.136834,106.448646,238.126677,117.470101
penampakkan\12\12_15.jpg,126.370328,41.801876,13.630269,108.675705,237.398718,115.052738
penampakkan\12\12_16.jpg,125.383976,40.311128,12.786567,108.738249,238.617985,115.159517
penampakkan\12\12_17.jpg,149.299992,73.128534,19.728462,104.815794,232.276499,135.706254
penampakkan\12\12_18.jpg,148.041961,57.651636,18.191456,106.966158,234.040374,134.927928
penampakkan\12\12_19.jpg,125.981204,53.123466,14.350710,106.422543,237.165232,115.342240
penampakkan\12\12_2.jpg,125.218471,48.974617,11.195251,106.832663,240.287832,115.205123
penampakkan\12\12_20.jpg,145.059580,64.253251,16.712841,105.633944,235.461019,132.193318
penampakkan\12\12_21.jpg,141.200478,67.289589,16.899009,104.918819,235.174546,129.289550
